Seiza:1, Coor:-5,-6,-6,-1
Seiza:50, Coor:3,-3,2,1
Seiza:51, Coor:0,-4,3,-8
Seiza:52, Coor:0,4,-2,-6
Seiza:2, Coor:-4,5,-4,-2
Seiza:2, Coor:-4,-5,3,-1
Seiza:2, Coor:-7,-5,-5,2
Seiza:2, Coor:-7,-6,7,-8
Seiza:2, Coor:-1,1,4,0
Seiza:2, Coor:-2,0,8,-3
Seiza:14, Coor:-8,7,6,2
Seiza:2, Coor:1,1,5,2
Seiza:4, Coor:3,7,0,1
Seiza:2, Coor:-4,-8,-2,6
Seiza:2, Coor:2,1,8,-1
Seiza:2, Coor:0,-2,5,-6
Seiza:53, Coor:-7,-8,-8,-2
Seiza:2, Coor:4,-5,-3,0
Seiza:54, Coor:6,-3,5,8
Seiza:55, Coor:6,-5,3,-3
Seiza:56, Coor:8,6,5,0
Seiza:2, Coor:6,3,6,7
Seiza:2, Coor:6,0,6,-6
Seiza:2, Coor:8,1,1,3
Seiza:57, Coor:2,-4,7,-4
Seiza:58, Coor:6,-2,-1,-7
Seiza:2, Coor:-7,-1,0,8
Seiza:12, Coor:6,2,-7,8
Seiza:59, Coor:-7,-8,-2,8
Seiza:60, Coor:8,3,8,4
Seiza:33, Coor:7,7,-3,-2
Seiza:22, Coor:2,-6,-6,3
Seiza:61, Coor:-7,-8,-2,-6
Seiza:62, Coor:-1,-6,2,3
Seiza:2, Coor:-3,-7,5,-4
Seiza:63, Coor:3,-2,-3,-5
Seiza:38, Coor:4,7,8,-2
Seiza:64, Coor:-4,-3,6,4
Seiza:2, Coor:-4,4,1,6
Seiza:2, Coor:-7,-7,-6,7
Seiza:65, Coor:-5,-1,7,7
Seiza:42, Coor:8,1,4,-7
Seiza:2, Coor:1,6,0,-7
Seiza:2, Coor:-2,0,-2,0
Seiza:2, Coor:-8,0,3,-2
Seiza:4, Coor:1,7,1,2
Seiza:2, Coor:-1,-5,-3,-1
Seiza:66, Coor:0,-7,-4,6
Seiza:2, Coor:1,4,6,-5
Seiza:2, Coor:-4,-2,-3,-1
Seiza:2, Coor:5,0,-3,3
Seiza:45, Coor:7,-1,4,6
Seiza:4, Coor:2,7,-1,2
Seiza:67, Coor:7,-3,-5,-7
Seiza:61, Coor:-6,-8,-3,-7
Seiza:50, Coor:4,-4,1,4
Seiza:2, Coor:4,-2,7,-1
Seiza:68, Coor:-6,-8,-5,1
Seiza:69, Coor:6,-7,8,-6
Seiza:14, Coor:-7,7,6,3
Seiza:70, Coor:6,1,-5,-6
Seiza:71, Coor:4,8,8,8
Seiza:2, Coor:-3,-3,0,-4
Seiza:72, Coor:4,0,-7,-4
Seiza:2, Coor:0,6,7,7
Seiza:2, Coor:7,-5,-2,0
Seiza:73, Coor:-5,2,-1,-6
Seiza:2, Coor:-6,0,2,-2
Seiza:74, Coor:8,-8,8,-2
Seiza:2, Coor:1,0,5,-4
Seiza:75, Coor:-3,-3,-7,-7
Seiza:2, Coor:0,-3,-1,0
Seiza:2, Coor:1,0,-3,-2
Seiza:9, Coor:3,4,-5,-6
Seiza:76, Coor:4,0,5,7
Seiza:2, Coor:3,0,0,0
Seiza:2, Coor:-4,4,8,-2
Seiza:77, Coor:1,-2,0,-8
Seiza:78, Coor:2,-4,-5,-6
Seiza:2, Coor:5,3,3,5
Seiza:2, Coor:-7,1,3,5
Seiza:2, Coor:0,0,6,-4
Seiza:54, Coor:-1,-3,5,6
Seiza:2, Coor:6,-6,-7,0
Seiza:2, Coor:0,0,-7,-5
Seiza:79, Coor:-5,7,-4,-7
Seiza:80, Coor:4,2,3,8
Seiza:2, Coor:0,-1,2,-6
Seiza:81, Coor:3,0,-8,-2
Seiza:2, Coor:0,3,5,-6
Seiza:82, Coor:-6,-1,1,-7
Seiza:2, Coor:0,5,-6,2
Seiza:2, Coor:-8,0,-3,8
Seiza:2, Coor:-6,-1,7,0
Seiza:2, Coor:0,6,7,6
Seiza:83, Coor:-5,8,2,-3
Seiza:2, Coor:-3,0,4,6
Seiza:2, Coor:-4,4,-7,-4
Seiza:84, Coor:5,-8,6,5
Seiza:2, Coor:3,0,3,-5
Seiza:85, Coor:5,-7,-5,-6
Seiza:2, Coor:-3,-2,-1,8
Seiza:2, Coor:6,1,0,-6
Seiza:2, Coor:6,-2,-4,-4
Seiza:79, Coor:-5,7,-3,-6
Seiza:2, Coor:7,-6,0,-5
Seiza:13, Coor:-2,-4,0,4
Seiza:86, Coor:-8,-5,8,-2
Seiza:87, Coor:-6,6,-6,6
Seiza:2, Coor:7,-2,2,-5
Seiza:2, Coor:2,-1,2,3
Seiza:28, Coor:-1,3,0,5
Seiza:88, Coor:-1,8,2,-6
Seiza:2, Coor:2,0,6,3
Seiza:2, Coor:5,-8,-2,0
Seiza:89, Coor:8,-4,0,8
Seiza:2, Coor:7,-1,3,-5
Seiza:2, Coor:1,3,-3,3
Seiza:90, Coor:0,0,4,4
Seiza:91, Coor:-8,4,5,-4
Seiza:2, Coor:-1,5,-3,4
Seiza:19, Coor:5,3,1,-3
Seiza:2, Coor:-7,0,-1,-1
Seiza:2, Coor:-3,-2,0,0
Seiza:92, Coor:6,8,-8,0
Seiza:2, Coor:-6,-4,-5,4
Seiza:93, Coor:-7,5,8,-7
Seiza:50, Coor:1,-3,1,4
Seiza:2, Coor:7,-4,-3,0
Seiza:94, Coor:4,5,7,8
Seiza:2, Coor:3,0,-4,6
Seiza:95, Coor:-2,-6,-4,-4
Seiza:2, Coor:0,5,-8,1
Seiza:96, Coor:2,-7,-6,-7
Seiza:2, Coor:0,-2,0,0
Seiza:97, Coor:4,8,-1,-7
Seiza:98, Coor:-2,-4,3,8
Seiza:22, Coor:7,-4,-6,4
Seiza:12, Coor:7,1,-3,8
Seiza:99, Coor:-1,1,-8,-6
Seiza:2, Coor:2,-7,1,0
Seiza:2, Coor:-4,4,-6,0
Seiza:2, Coor:3,0,2,2
Seiza:100, Coor:-3,6,7,4
Seiza:54, Coor:0,-5,5,6
Seiza:2, Coor:-4,2,5,-2
Seiza:2, Coor:-8,-4,2,2
Seiza:32, Coor:-6,2,-6,4
Seiza:2, Coor:0,-7,7,-3
Seiza:101, Coor:8,3,2,-7
Seiza:2, Coor:-2,-1,3,3
Seiza:102, Coor:-3,6,1,2
Seiza:2, Coor:-1,-7,0,8
Seiza:2, Coor:0,3,5,0
Seiza:103, Coor:-3,8,8,-7
Seiza:2, Coor:6,3,-6,0
Seiza:104, Coor:0,-3,2,8
Seiza:2, Coor:0,1,2,1
Seiza:2, Coor:6,1,-5,-1
Seiza:2, Coor:7,-3,0,-4
Seiza:2, Coor:0,2,0,-7
Seiza:42, Coor:8,-2,4,-7
Seiza:2, Coor:0,1,-5,0
Seiza:105, Coor:-7,6,-1,-5
Seiza:106, Coor:-5,-6,8,-1
Seiza:2, Coor:-1,-5,5,-3
Seiza:107, Coor:-5,3,4,-3
Seiza:2, Coor:-1,-5,7,-6
Seiza:108, Coor:-2,5,-4,-5
Seiza:109, Coor:-1,-6,2,-8
Seiza:2, Coor:0,5,-8,4
Seiza:110, Coor:4,-8,-6,-1
Seiza:2, Coor:-2,0,-8,-3
Seiza:12, Coor:8,2,-7,6
Seiza:2, Coor:2,7,7,6
Seiza:111, Coor:-5,5,8,7
Seiza:112, Coor:0,5,8,-8
Seiza:2, Coor:8,3,-4,1
Seiza:2, Coor:-1,-2,0,-2
Seiza:2, Coor:1,0,2,-5
Seiza:113, Coor:-6,-7,2,-5
Seiza:6, Coor:3,-5,2,-5
Seiza:2, Coor:6,3,4,6
Seiza:2, Coor:-1,-7,0,5
Seiza:50, Coor:3,-3,0,4
Seiza:114, Coor:5,-8,7,-8
Seiza:2, Coor:1,-2,6,-5
Seiza:2, Coor:2,4,1,3
Seiza:2, Coor:-5,-3,3,-7
Seiza:2, Coor:3,6,-3,5
Seiza:115, Coor:-7,3,-4,-7
Seiza:27, Coor:1,-6,7,2
Seiza:18, Coor:-5,1,-8,-8
Seiza:2, Coor:0,-1,-3,6
Seiza:2, Coor:0,-3,-7,0
Seiza:2, Coor:1,3,5,0
Seiza:116, Coor:6,-5,-7,-8
Seiza:117, Coor:-6,-3,-7,-4
Seiza:54, Coor:0,-7,6,7
Seiza:2, Coor:0,3,-6,8
Seiza:2, Coor:6,6,-3,0
Seiza:50, Coor:3,-3,2,4
Seiza:2, Coor:-3,-1,-1,7
Seiza:18, Coor:-4,-2,-3,-8
Seiza:2, Coor:1,2,4,1
Seiza:2, Coor:8,-4,0,-3
Seiza:2, Coor:6,-2,-6,-4
Seiza:2, Coor:1,6,-1,-1
Seiza:2, Coor:-2,-2,8,-7
Seiza:118, Coor:-7,7,-2,0
Seiza:2, Coor:8,-1,-2,2
Seiza:119, Coor:2,-4,-7,-4
Seiza:2, Coor:-3,5,3,-6
Seiza:120, Coor:4,6,4,7
Seiza:2, Coor:-4,0,4,-3
Seiza:2, Coor:-3,-8,5,-3
Seiza:121, Coor:-3,-1,-6,-6
Seiza:2, Coor:6,3,0,-7
Seiza:2, Coor:1,7,-2,-8
Seiza:2, Coor:5,2,5,-5
Seiza:27, Coor:3,-7,7,4
Seiza:112, Coor:-1,7,4,-5
Seiza:42, Coor:8,-3,6,-8
Seiza:69, Coor:4,-6,7,-6
Seiza:2, Coor:-3,4,-7,-4
Seiza:2, Coor:0,-2,-5,1
Seiza:122, Coor:-2,-4,8,3
Seiza:123, Coor:-7,5,0,4
Seiza:2, Coor:6,3,0,3
Seiza:2, Coor:0,0,-6,8
Seiza:2, Coor:-8,0,2,-5
Seiza:2, Coor:6,3,4,-5
Seiza:32, Coor:-7,-1,-5,6
Seiza:2, Coor:-6,-4,4,0
Seiza:40, Coor:5,-8,0,7
Seiza:124, Coor:-3,-4,-7,8
Seiza:125, Coor:7,-7,-3,4
Seiza:2, Coor:-1,0,-8,-3
Seiza:126, Coor:7,0,6,5
Seiza:2, Coor:-2,-2,7,2
Seiza:40, Coor:3,-7,-1,6
Seiza:4, Coor:3,5,0,5
Seiza:2, Coor:0,0,-6,-5
Seiza:2, Coor:0,5,-8,-2
Seiza:78, Coor:0,-3,-6,-6
Seiza:127, Coor:-5,2,2,8
Seiza:2, Coor:5,0,-1,5
Seiza:2, Coor:0,1,4,0
Seiza:2, Coor:-2,-7,0,1
Seiza:32, Coor:-5,0,-6,2
Seiza:54, Coor:2,-3,4,7
Seiza:128, Coor:-4,3,-4,-8
Seiza:2, Coor:0,3,-1,-8
Seiza:2, Coor:2,7,5,0
Seiza:129, Coor:5,6,-5,2
Seiza:2, Coor:3,-1,3,-6
Seiza:2, Coor:5,-1,4,4
Seiza:2, Coor:7,7,7,-4
Seiza:2, Coor:-6,4,5,0
Seiza:5, Coor:7,-4,8,7
Seiza:93, Coor:-7,3,8,-7
Seiza:2, Coor:1,-1,3,-5
Seiza:2, Coor:-4,5,6,-6
Seiza:2, Coor:-2,-1,7,1
Seiza:74, Coor:8,-8,6,-1
Seiza:2, Coor:-6,-3,-6,5
Seiza:130, Coor:-8,8,-1,2
Seiza:2, Coor:-2,-6,0,0
Seiza:2, Coor:-7,-5,-7,-2
Seiza:2, Coor:-1,0,0,-5
Seiza:2, Coor:-2,6,5,2
Seiza:2, Coor:0,5,-7,4
Seiza:131, Coor:-2,3,-7,-6
Seiza:2, Coor:-4,-1,0,6
Seiza:2, Coor:-6,2,-2,1
Seiza:2, Coor:-5,6,0,0
Seiza:32, Coor:-3,1,-6,3
Seiza:2, Coor:-6,-2,-7,5
Seiza:132, Coor:-7,8,-4,7
Seiza:92, Coor:7,8,-6,0
Seiza:2, Coor:3,-7,0,0
Seiza:133, Coor:-8,-2,6,-7
Seiza:69, Coor:3,-7,8,-7
Seiza:93, Coor:-6,5,8,-6
Seiza:134, Coor:-5,2,-3,5
Seiza:135, Coor:-3,6,5,-4
Seiza:2, Coor:-5,5,-2,3
Seiza:136, Coor:8,3,-5,-2
Seiza:137, Coor:-3,-8,3,5
Seiza:138, Coor:2,-2,8,4
Seiza:2, Coor:7,-6,-6,-5
Seiza:2, Coor:4,0,-2,-8
Seiza:2, Coor:-3,-3,-1,0
Seiza:2, Coor:-8,-2,-1,7
Seiza:139, Coor:-2,1,-1,8
Seiza:140, Coor:4,8,-6,3
Seiza:2, Coor:4,-4,-2,0
Seiza:141, Coor:5,7,0,-8
Seiza:142, Coor:-8,6,-2,-2
Seiza:2, Coor:2,0,7,2
Seiza:120, Coor:3,4,2,6
Seiza:2, Coor:-7,0,1,1
Seiza:143, Coor:-1,8,-4,0
Seiza:2, Coor:-5,-8,-1,5
Seiza:144, Coor:5,2,0,8
Seiza:2, Coor:-2,-4,2,-3
Seiza:64, Coor:-4,-2,6,6
Seiza:145, Coor:7,6,-7,-6
Seiza:12, Coor:7,2,-7,6
Seiza:2, Coor:0,0,-6,-2
Seiza:4, Coor:-3,8,2,3
Seiza:146, Coor:3,-8,-5,-5
Seiza:2, Coor:3,-6,-1,-1
Seiza:2, Coor:-4,-2,2,2
Seiza:2, Coor:2,1,-2,1
Seiza:2, Coor:5,-1,1,-8
Seiza:2, Coor:2,6,-2,-7
Seiza:2, Coor:-8,1,2,1
Seiza:2, Coor:0,-5,7,-1
Seiza:2, Coor:5,0,0,-6
Seiza:2, Coor:3,2,0,3
Seiza:2, Coor:7,3,3,0
Seiza:2, Coor:7,-4,-3,-2
Seiza:2, Coor:-3,-4,1,0
Seiza:2, Coor:-3,0,0,0
Seiza:2, Coor:-6,1,-4,7
Seiza:147, Coor:-5,4,-4,-6
Seiza:148, Coor:-8,-2,-2,-1
Seiza:2, Coor:4,5,1,-2
Seiza:2, Coor:4,-2,5,3
Seiza:2, Coor:5,-8,2,1
Seiza:2, Coor:-5,1,0,3
Seiza:149, Coor:-7,0,8,2
Seiza:7, Coor:-5,0,8,-7
Seiza:2, Coor:-5,-5,-2,-2
Seiza:150, Coor:-8,-4,-1,-2
Seiza:151, Coor:3,6,6,-5
Seiza:2, Coor:7,-4,-2,2
Seiza:152, Coor:-2,-7,-7,2
Seiza:2, Coor:-4,6,-1,6
Seiza:153, Coor:6,-1,-8,-3
Seiza:54, Coor:0,-6,7,5
Seiza:45, Coor:7,-2,2,7
Seiza:154, Coor:6,0,-1,8
Seiza:2, Coor:-4,7,5,2
Seiza:2, Coor:6,-1,2,-5
Seiza:2, Coor:0,2,-5,-8
Seiza:2, Coor:-5,-7,0,2
Seiza:155, Coor:8,4,-1,1
Seiza:18, Coor:-8,-3,0,-7
Seiza:2, Coor:-2,1,-1,-5
Seiza:2, Coor:-7,-7,-6,2
Seiza:4, Coor:3,6,1,2
Seiza:2, Coor:2,-2,-5,0
Seiza:2, Coor:-2,5,-8,7
Seiza:2, Coor:-1,0,-3,-3
Seiza:2, Coor:-1,-6,8,0
Seiza:2, Coor:1,0,4,-5
Seiza:2, Coor:-2,-3,5,-4
Seiza:156, Coor:-8,-8,3,0
Seiza:2, Coor:7,-6,2,0
Seiza:2, Coor:6,2,0,-1
Seiza:9, Coor:6,3,-3,-4
Seiza:2, Coor:-3,-5,0,8
Seiza:2, Coor:0,1,-4,4
Seiza:2, Coor:3,1,0,4
Seiza:85, Coor:6,-6,-4,-8
Seiza:157, Coor:-5,-8,0,-5
Seiza:2, Coor:1,2,-3,6
Seiza:2, Coor:0,6,7,8
Seiza:61, Coor:-6,-7,-4,-8
Seiza:158, Coor:-3,6,-6,-2
Seiza:2, Coor:8,4,-4,0
Seiza:18, Coor:-8,0,-2,-5
Seiza:2, Coor:-2,-2,2,-1
Seiza:2, Coor:-7,3,-5,1
Seiza:112, Coor:0,8,8,-6
Seiza:2, Coor:-6,-5,-7,0
Seiza:2, Coor:-2,2,1,3
Seiza:18, Coor:-4,0,-8,-8
Seiza:2, Coor:0,-3,-7,-1
Seiza:159, Coor:-5,0,-2,-2
Seiza:2, Coor:6,3,7,2
Seiza:2, Coor:-2,-7,8,1
Seiza:2, Coor:2,4,-8,-1
Seiza:2, Coor:8,4,-1,5
Seiza:2, Coor:1,-5,0,6
Seiza:66, Coor:2,-6,-5,6
Seiza:2, Coor:0,2,1,3
Seiza:160, Coor:4,5,-6,6
Seiza:161, Coor:7,4,1,-8
Seiza:14, Coor:-7,8,7,2
Seiza:2, Coor:-2,1,5,4
Seiza:2, Coor:0,-2,-2,-1
Seiza:33, Coor:8,8,-4,-2
Seiza:2, Coor:-3,1,-2,0
Seiza:2, Coor:1,8,-4,4
Seiza:2, Coor:-1,4,0,0
Seiza:2, Coor:6,-1,0,0
Seiza:2, Coor:2,0,2,-5
Seiza:84, Coor:6,-8,8,5
Seiza:157, Coor:-4,-7,0,-5
Seiza:9, Coor:3,3,-8,-8
Seiza:162, Coor:-3,7,-5,-6
Seiza:6, Coor:4,-4,3,-4
Seiza:2, Coor:0,5,-7,-3
Seiza:163, Coor:-3,2,5,-5
Seiza:2, Coor:7,-7,-3,-1
Seiza:164, Coor:0,-8,-8,-6
Seiza:2, Coor:-5,-7,1,0
Seiza:2, Coor:3,1,-5,-2
Seiza:2, Coor:-5,3,2,-1
Seiza:7, Coor:-4,0,8,-8
Seiza:149, Coor:-7,-1,6,3
Seiza:47, Coor:-5,7,8,4
Seiza:2, Coor:-4,-4,5,0
Seiza:2, Coor:6,0,1,4
Seiza:2, Coor:4,1,-4,0
Seiza:2, Coor:-5,-3,-6,8
Seiza:2, Coor:7,3,-6,2
Seiza:165, Coor:4,3,8,4
Seiza:2, Coor:0,8,-4,5
Seiza:166, Coor:0,6,-5,-8
Seiza:2, Coor:2,3,5,5
Seiza:60, Coor:8,3,8,6
Seiza:167, Coor:5,-8,5,2
Seiza:168, Coor:-5,-7,0,-8
Seiza:169, Coor:-7,3,-6,7
Seiza:2, Coor:0,-3,1,-3
Seiza:2, Coor:0,-1,6,1
Seiza:2, Coor:-7,1,4,-4
Seiza:2, Coor:-2,4,1,4
Seiza:170, Coor:5,5,-6,-1
Seiza:2, Coor:-2,8,0,7
Seiza:2, Coor:7,-6,0,1
Seiza:171, Coor:-4,6,-7,8
Seiza:61, Coor:-7,-7,-1,-6
Seiza:2, Coor:-5,3,-2,2
Seiza:2, Coor:0,6,-1,1
Seiza:2, Coor:1,1,6,-2
Seiza:2, Coor:0,-1,-4,8
Seiza:2, Coor:6,2,-1,1
Seiza:2, Coor:-3,5,-7,0
Seiza:2, Coor:7,-8,2,0
Seiza:2, Coor:0,7,-7,1
Seiza:2, Coor:0,-2,6,2
Seiza:172, Coor:4,-8,1,-7
Seiza:2, Coor:4,3,0,4
Seiza:2, Coor:2,1,6,3
Seiza:74, Coor:6,-8,6,0
Seiza:66, Coor:3,-8,-4,5
Seiza:54, Coor:-1,-7,8,7
Seiza:2, Coor:-6,2,2,0
Seiza:2, Coor:-2,1,5,1
Seiza:2, Coor:0,-7,1,0
Seiza:38, Coor:5,7,6,-1
Seiza:2, Coor:-4,3,7,-6
Seiza:2, Coor:0,5,-4,5
Seiza:2, Coor:-5,6,5,-2
Seiza:116, Coor:5,-5,-7,-8
Seiza:2, Coor:-2,6,-3,-2
Seiza:2, Coor:-6,0,0,8
Seiza:2, Coor:-6,-5,-1,7
Seiza:2, Coor:-5,-5,2,7
Seiza:57, Coor:2,-4,7,-3
Seiza:2, Coor:1,-1,-2,8
Seiza:2, Coor:-5,-5,1,-1
Seiza:2, Coor:6,2,-1,4
Seiza:22, Coor:1,-6,-8,7
Seiza:2, Coor:3,5,-2,8
Seiza:2, Coor:3,-5,-2,0
Seiza:23, Coor:4,-3,8,7
Seiza:2, Coor:-5,1,-5,8
Seiza:13, Coor:-3,-3,2,4
Seiza:2, Coor:-7,-6,-5,8
Seiza:2, Coor:-7,-3,0,-1
Seiza:2, Coor:-2,6,6,0
Seiza:13, Coor:-3,-4,0,3
Seiza:2, Coor:-4,-4,4,-8
Seiza:2, Coor:-1,0,1,0
Seiza:2, Coor:-4,-8,0,1
Seiza:18, Coor:-5,-2,-5,-8
Seiza:173, Coor:0,-3,3,-1
Seiza:174, Coor:7,-6,5,8
Seiza:2, Coor:-4,-5,5,-4
Seiza:2, Coor:-6,3,-7,-4
Seiza:4, Coor:4,7,-2,3
Seiza:2, Coor:-1,0,-8,-1
Seiza:2, Coor:-4,8,-1,5
Seiza:2, Coor:-1,-6,5,2
Seiza:2, Coor:-6,-4,0,-1
Seiza:175, Coor:8,-8,2,-3
Seiza:2, Coor:0,-1,-2,3
Seiza:2, Coor:-1,-6,0,6
Seiza:8, Coor:-1,-8,-6,0
Seiza:2, Coor:-7,-6,7,-4
Seiza:22, Coor:2,-6,-8,4
Seiza:2, Coor:7,4,6,-7
Seiza:2, Coor:-6,0,5,-4
Seiza:105, Coor:-5,5,-1,-5
Seiza:176, Coor:-4,7,-1,-4
Seiza:2, Coor:2,4,-1,-8
Seiza:2, Coor:-3,-7,8,1
Seiza:78, Coor:-1,-6,-3,-6
Seiza:38, Coor:5,7,6,0
Seiza:51, Coor:0,-5,3,-6
Seiza:2, Coor:2,7,8,0
Seiza:2, Coor:-4,1,2,6
Seiza:2, Coor:-5,-2,3,-5
Seiza:2, Coor:6,3,0,6
Seiza:163, Coor:-2,2,6,-5
Seiza:2, Coor:-1,0,8,-4
Seiza:2, Coor:2,-1,0,1
Seiza:177, Coor:7,0,-2,-7
Seiza:2, Coor:-1,2,-4,0
Seiza:178, Coor:7,-4,0,-8
Seiza:2, Coor:-7,-5,5,0
Seiza:2, Coor:-8,2,0,-1
Seiza:14, Coor:-5,6,6,3
Seiza:2, Coor:0,6,7,-2
Seiza:2, Coor:-7,-6,-8,2
Seiza:2, Coor:2,-2,3,0
Seiza:2, Coor:-2,-4,7,-7
Seiza:2, Coor:0,-4,0,-2
Seiza:179, Coor:6,5,8,-8
Seiza:2, Coor:-3,0,-4,0
Seiza:54, Coor:3,-3,5,8
Seiza:2, Coor:-1,0,7,5
Seiza:2, Coor:1,7,4,-8
Seiza:42, Coor:6,-4,6,-8
Seiza:18, Coor:-8,-1,0,-6
Seiza:2, Coor:1,0,0,4
Seiza:2, Coor:-1,3,6,5
Seiza:2, Coor:-2,4,7,0
Seiza:180, Coor:4,8,-1,8
Seiza:2, Coor:-3,0,4,-3
Seiza:181, Coor:0,-5,3,4
Seiza:182, Coor:0,0,8,-8
Seiza:2, Coor:-4,-8,5,-1
Seiza:2, Coor:-3,5,0,0
Seiza:2, Coor:1,-2,-2,0
Seiza:183, Coor:7,-2,8,-8
Seiza:184, Coor:3,-2,-6,6
Seiza:2, Coor:-6,-5,-6,7
Seiza:2, Coor:0,-5,7,-5
Seiza:141, Coor:5,7,-2,-8
Seiza:2, Coor:2,6,-2,-6
Seiza:185, Coor:-7,-7,2,6
Seiza:186, Coor:2,-5,5,-7
