ID:0, y:18, x:37
ID:8, y:66, x:128
ID:9, y:75, x:123
ID:11, y:95, x:107
ID:10, y:100, x:129
ID:12, y:114, x:106
ID:14, y:129, x:53
ID:15, y:132, x:5
ID:13, y:132, x:114
ID:16, y:147, x:38

ID:1, y:13, x:68
ID:0, y:22, x:44
ID:3, y:28, x:9
ID:4, y:32, x:115
ID:5, y:36, x:104
ID:2, y:39, x:39
ID:7, y:43, x:18
ID:6, y:49, x:101
ID:8, y:65, x:128
ID:9, y:74, x:123
ID:11, y:95, x:106
ID:10, y:101, x:129
ID:12, y:115, x:106
ID:14, y:129, x:54
ID:15, y:131, x:5
ID:13, y:133, x:114
ID:16, y:147, x:39

ID:1, y:13, x:69
ID:0, y:22, x:45
ID:3, y:29, x:9
ID:4, y:31, x:115
ID:5, y:36, x:103
ID:2, y:39, x:40
ID:7, y:43, x:19
ID:6, y:48, x:101
ID:8, y:64, x:128
ID:9, y:74, x:122
ID:11, y:95, x:105
ID:10, y:101, x:128
ID:12, y:115, x:105
ID:14, y:128, x:54
ID:15, y:131, x:6
ID:13, y:134, x:114
ID:16, y:147, x:40

ID:1, y:13, x:70
ID:0, y:22, x:46
ID:3, y:30, x:9
ID:4, y:30, x:115
ID:5, y:36, x:102
ID:2, y:39, x:41
ID:7, y:43, x:20
ID:6, y:48, x:100
ID:8, y:63, x:128
ID:9, y:74, x:121
ID:11, y:95, x:104
ID:10, y:101, x:127
ID:12, y:115, x:104
ID:14, y:127, x:54
ID:15, y:131, x:7
ID:13, y:135, x:114
ID:16, y:147, x:41

ID:1, y:13, x:71
ID:0, y:22, x:47
ID:4, y:30, x:114
ID:3, y:31, x:9
ID:5, y:36, x:101
ID:2, y:40, x:41
ID:7, y:43, x:21
ID:6, y:48, x:99
ID:8, y:62, x:128
ID:9, y:74, x:120
ID:11, y:95, x:103
ID:10, y:102, x:127
ID:12, y:116, x:104
ID:14, y:126, x:54
ID:15, y:132, x:7
ID:13, y:136, x:114
ID:16, y:147, x:42

ID:1, y:13, x:72
ID:0, y:22, x:48
ID:4, y:30, x:113
ID:3, y:32, x:9
ID:5, y:36, x:100
ID:2, y:40, x:42
ID:7, y:44, x:21
ID:6, y:49, x:99
ID:8, y:61, x:128
ID:9, y:73, x:120
ID:11, y:95, x:102
ID:10, y:103, x:127
ID:12, y:117, x:104
ID:14, y:125, x:54
ID:15, y:133, x:7
ID:13, y:137, x:114
ID:16, y:147, x:43

ID:1, y:13, x:73
ID:0, y:23, x:48
ID:4, y:30, x:112
ID:3, y:33, x:9
ID:5, y:36, x:99
ID:2, y:40, x:43
ID:7, y:45, x:21
ID:6, y:50, x:99
ID:8, y:60, x:128
ID:9, y:73, x:119
ID:11, y:95, x:101
ID:10, y:104, x:127
ID:12, y:118, x:104
ID:14, y:125, x:55
ID:15, y:134, x:7
ID:13, y:137, x:113
ID:16, y:147, x:44

ID:1, y:13, x:74
ID:0, y:24, x:48
ID:4, y:30, x:111
ID:3, y:34, x:9
ID:5, y:36, x:98
ID:2, y:40, x:44
ID:7, y:45, x:22
ID:6, y:50, x:98
ID:8, y:59, x:128
ID:9, y:73, x:118
ID:11, y:94, x:101
ID:10, y:105, x:127
ID:12, y:119, x:104
ID:14, y:124, x:55
ID:15, y:134, x:8
ID:13, y:138, x:113
ID:16, y:147, x:45

ID:1, y:13, x:75
ID:0, y:24, x:49
ID:4, y:30, x:110
ID:3, y:35, x:9
ID:5, y:35, x:98
ID:2, y:41, x:44
ID:7, y:45, x:23
ID:6, y:51, x:98
ID:8, y:58, x:128
ID:9, y:72, x:118
ID:11, y:93, x:101
ID:10, y:106, x:127
ID:12, y:120, x:104
ID:14, y:123, x:55
ID:15, y:134, x:9
ID:13, y:139, x:113
ID:16, y:147, x:46

ID:1, y:13, x:76
ID:0, y:24, x:50
ID:4, y:30, x:109
ID:5, y:34, x:98
ID:3, y:36, x:9
ID:2, y:41, x:45
ID:7, y:45, x:24
ID:6, y:52, x:98
ID:8, y:57, x:128
ID:9, y:72, x:117
ID:11, y:92, x:101
ID:10, y:107, x:127
ID:12, y:120, x:103
ID:14, y:122, x:55
ID:15, y:134, x:10
ID:13, y:139, x:114
ID:16, y:147, x:47

ID:1, y:13, x:77
ID:0, y:25, x:50
ID:4, y:30, x:108
ID:5, y:33, x:98
ID:3, y:37, x:9
ID:2, y:41, x:46
ID:7, y:45, x:25
ID:6, y:53, x:98
ID:8, y:56, x:128
ID:9, y:72, x:116
ID:11, y:91, x:101
ID:10, y:108, x:127
ID:12, y:120, x:102
ID:14, y:121, x:55
ID:15, y:134, x:11
ID:13, y:139, x:115
ID:16, y:147, x:48

ID:1, y:12, x:77
ID:0, y:25, x:51
ID:4, y:30, x:107
ID:5, y:33, x:97
ID:3, y:37, x:10
ID:2, y:41, x:47
ID:7, y:46, x:25
ID:6, y:54, x:98
ID:8, y:55, x:128
ID:9, y:72, x:115
ID:11, y:90, x:101
ID:10, y:109, x:127
ID:14, y:120, x:55
ID:12, y:120, x:101
ID:15, y:134, x:12
ID:13, y:139, x:116
ID:16, y:147, x:49

ID:1, y:11, x:77
ID:0, y:25, x:52
ID:4, y:30, x:106
ID:5, y:33, x:96
ID:3, y:37, x:11
ID:2, y:42, x:47
ID:7, y:47, x:25
ID:6, y:54, x:97
ID:8, y:55, x:129
ID:9, y:72, x:114
ID:11, y:89, x:101
ID:10, y:109, x:126
ID:14, y:120, x:56
ID:12, y:121, x:101
ID:15, y:134, x:13
ID:13, y:139, x:117
ID:16, y:147, x:50

ID:1, y:10, x:77
ID:0, y:25, x:53
ID:4, y:30, x:105
ID:5, y:33, x:95
ID:3, y:37, x:12
ID:2, y:43, x:47
ID:7, y:48, x:25
ID:8, y:54, x:129
ID:6, y:55, x:97
ID:9, y:72, x:113
ID:11, y:89, x:100
ID:10, y:110, x:126
ID:14, y:120, x:57
ID:12, y:122, x:101
ID:15, y:134, x:14
ID:13, y:139, x:118
ID:16, y:147, x:51

ID:1, y:9, x:77
ID:0, y:25, x:54
ID:4, y:30, x:104
ID:5, y:33, x:94
ID:3, y:37, x:13
ID:2, y:43, x:48
ID:7, y:48, x:26
ID:8, y:54, x:128
ID:6, y:56, x:97
ID:9, y:71, x:113
ID:11, y:89, x:99
ID:10, y:111, x:126
ID:14, y:119, x:57
ID:12, y:123, x:101
ID:15, y:135, x:14
ID:13, y:139, x:119
ID:16, y:147, x:52

ID:1, y:9, x:78
ID:0, y:26, x:54
ID:4, y:30, x:103
ID:5, y:33, x:93
ID:3, y:37, x:14
ID:2, y:43, x:49
ID:7, y:48, x:27
ID:8, y:54, x:127
ID:6, y:57, x:97
ID:9, y:70, x:113
ID:11, y:89, x:98
ID:10, y:112, x:126
ID:14, y:118, x:57
ID:12, y:124, x:101
ID:15, y:135, x:15
ID:13, y:139, x:120
ID:16, y:147, x:53

ID:1, y:9, x:79
ID:0, y:26, x:55
ID:4, y:30, x:102
ID:5, y:33, x:92
ID:3, y:37, x:15
ID:2, y:43, x:50
ID:7, y:48, x:28
ID:8, y:54, x:126
ID:6, y:57, x:96
ID:9, y:70, x:112
ID:11, y:88, x:98
ID:10, y:113, x:126
ID:14, y:118, x:56
ID:12, y:125, x:101
ID:15, y:135, x:16
ID:13, y:139, x:121
ID:16, y:147, x:54

ID:1, y:8, x:79
ID:0, y:26, x:56
ID:4, y:30, x:101
ID:5, y:32, x:92
ID:3, y:37, x:16
ID:2, y:44, x:50
ID:7, y:48, x:29
ID:8, y:53, x:126
ID:6, y:57, x:95
ID:9, y:70, x:111
ID:11, y:87, x:98
ID:10, y:114, x:126
ID:14, y:118, x:55
ID:12, y:126, x:101
ID:15, y:134, x:16
ID:13, y:139, x:122
ID:16, y:147, x:55

ID:1, y:7, x:79
ID:0, y:26, x:57
ID:4, y:30, x:100
ID:5, y:31, x:92
ID:3, y:37, x:17
ID:2, y:44, x:51
ID:7, y:48, x:30
ID:8, y:52, x:126
ID:6, y:58, x:95
ID:9, y:70, x:110
ID:11, y:86, x:98
ID:10, y:114, x:125
ID:14, y:118, x:54
ID:12, y:126, x:100
ID:15, y:133, x:16
ID:13, y:139, x:123
ID:16, y:147, x:56

ID:1, y:7, x:80
ID:0, y:26, x:58
ID:5, y:30, x:92
ID:4, y:30, x:99
ID:3, y:37, x:18
ID:2, y:44, x:52
ID:7, y:48, x:31
ID:8, y:51, x:126
ID:6, y:58, x:94
ID:9, y:70, x:109
ID:11, y:85, x:98
ID:10, y:114, x:124
ID:14, y:117, x:54
ID:12, y:126, x:99
ID:15, y:132, x:16
ID:13, y:139, x:124
ID:16, y:147, x:57

ID:1, y:7, x:81
ID:0, y:26, x:59
ID:5, y:30, x:91
ID:4, y:30, x:98
ID:3, y:37, x:19
ID:2, y:44, x:53
ID:7, y:49, x:31
ID:8, y:50, x:126
ID:6, y:58, x:93
ID:9, y:69, x:109
ID:11, y:84, x:98
ID:10, y:114, x:123
ID:14, y:117, x:53
ID:12, y:126, x:98
ID:15, y:131, x:16
ID:13, y:139, x:125
ID:16, y:147, x:58

ID:1, y:7, x:82
ID:0, y:26, x:60
ID:4, y:29, x:98
ID:5, y:30, x:90
ID:3, y:37, x:20
ID:2, y:45, x:53
ID:8, y:49, x:126
ID:7, y:50, x:31
ID:6, y:58, x:92
ID:9, y:69, x:108
ID:11, y:83, x:98
ID:10, y:115, x:123
ID:14, y:117, x:52
ID:12, y:126, x:97
ID:15, y:131, x:17
ID:13, y:139, x:126
ID:16, y:147, x:59

ID:1, y:8, x:82
ID:0, y:27, x:60
ID:4, y:28, x:98
ID:5, y:30, x:89
ID:3, y:37, x:21
ID:2, y:45, x:54
ID:8, y:49, x:125
ID:7, y:51, x:31
ID:6, y:57, x:92
ID:9, y:69, x:107
ID:11, y:83, x:97
ID:10, y:116, x:123
ID:14, y:117, x:51
ID:12, y:126, x:96
ID:15, y:130, x:17
ID:13, y:139, x:127
ID:16, y:147, x:60

ID:1, y:8, x:83
ID:0, y:28, x:60
ID:4, y:28, x:97
ID:5, y:30, x:88
ID:3, y:38, x:21
ID:2, y:45, x:55
ID:8, y:49, x:124
ID:7, y:51, x:32
ID:6, y:57, x:91
ID:9, y:69, x:106
ID:11, y:83, x:96
ID:10, y:116, x:122
ID:14, y:117, x:50
ID:12, y:126, x:95
ID:15, y:129, x:17
ID:13, y:140, x:127
ID:16, y:147, x:61

ID:1, y:8, x:84
ID:4, y:28, x:96
ID:0, y:29, x:60
ID:5, y:30, x:87
ID:3, y:39, x:21
ID:2, y:45, x:56
ID:8, y:49, x:123
ID:7, y:51, x:33
ID:6, y:57, x:90
ID:9, y:69, x:105
ID:11, y:82, x:96
ID:10, y:116, x:121
ID:14, y:117, x:49
ID:12, y:126, x:94
ID:15, y:128, x:17
ID:13, y:141, x:127
ID:16, y:147, x:62

ID:1, y:8, x:85
ID:4, y:28, x:95
ID:0, y:30, x:60
ID:5, y:30, x:86
ID:3, y:39, x:22
ID:2, y:45, x:57
ID:8, y:49, x:122
ID:7, y:51, x:34
ID:6, y:56, x:90
ID:9, y:70, x:105
ID:11, y:82, x:95
ID:10, y:116, x:120
ID:14, y:117, x:48
ID:15, y:127, x:17
ID:12, y:127, x:94
ID:13, y:141, x:128
ID:16, y:147, x:63

ID:1, y:8, x:86
ID:4, y:28, x:94
ID:5, y:29, x:86
ID:0, y:31, x:60
ID:3, y:39, x:23
ID:2, y:45, x:58
ID:8, y:48, x:122
ID:7, y:51, x:35
ID:6, y:56, x:89
ID:9, y:70, x:104
ID:11, y:82, x:94
ID:10, y:116, x:119
ID:14, y:117, x:47
ID:15, y:126, x:17
ID:12, y:128, x:94
ID:13, y:141, x:129
ID:16, y:147, x:64

ID:1, y:8, x:87
ID:5, y:28, x:86
ID:4, y:28, x:93
ID:0, y:31, x:59
ID:3, y:39, x:24
ID:2, y:46, x:58
ID:8, y:47, x:122
ID:7, y:51, x:36
ID:6, y:56, x:88
ID:9, y:70, x:103
ID:11, y:82, x:93
ID:14, y:116, x:47
ID:10, y:116, x:118
ID:15, y:125, x:17
ID:12, y:128, x:93
ID:13, y:141, x:130
ID:16, y:147, x:65

ID:1, y:8, x:88
ID:5, y:28, x:85
ID:4, y:28, x:92
ID:0, y:31, x:58
ID:3, y:39, x:25
ID:2, y:46, x:59
ID:8, y:46, x:122
ID:7, y:52, x:36
ID:6, y:56, x:87
ID:9, y:70, x:102
ID:11, y:81, x:93
ID:14, y:115, x:47
ID:10, y:117, x:118
ID:15, y:124, x:17
ID:12, y:129, x:93
ID:13, y:141, x:131
ID:16, y:147, x:66

ID:1, y:8, x:89
ID:4, y:27, x:92
ID:5, y:28, x:84
ID:0, y:31, x:57
ID:3, y:40, x:25
ID:8, y:45, x:122
ID:2, y:46, x:60
ID:7, y:52, x:37
ID:6, y:56, x:86
ID:9, y:70, x:101
ID:11, y:81, x:92
ID:14, y:115, x:46
ID:10, y:118, x:118
ID:15, y:124, x:18
ID:12, y:129, x:92
ID:13, y:141, x:132
ID:16, y:146, x:66

ID:1, y:8, x:90
ID:4, y:26, x:92
ID:5, y:28, x:83
ID:0, y:31, x:56
ID:3, y:41, x:25
ID:8, y:45, x:121
ID:2, y:46, x:61
ID:7, y:52, x:38
ID:6, y:55, x:86
ID:9, y:71, x:101
ID:11, y:81, x:91
ID:14, y:115, x:45
ID:10, y:118, x:117
ID:15, y:124, x:19
ID:12, y:129, x:91
ID:13, y:141, x:133
ID:16, y:145, x:66

ID:1, y:8, x:91
ID:4, y:26, x:91
ID:5, y:28, x:82
ID:0, y:32, x:56
ID:3, y:41, x:26
ID:8, y:45, x:120
ID:2, y:47, x:61
ID:7, y:52, x:39
ID:6, y:55, x:85
ID:9, y:72, x:101
ID:11, y:81, x:90
ID:14, y:115, x:44
ID:10, y:118, x:116
ID:15, y:123, x:19
ID:12, y:129, x:90
ID:13, y:142, x:133
ID:16, y:145, x:67

ID:1, y:8, x:92
ID:4, y:26, x:90
ID:5, y:29, x:82
ID:0, y:33, x:56
ID:3, y:41, x:27
ID:8, y:44, x:120
ID:2, y:47, x:62
ID:7, y:52, x:40
ID:6, y:55, x:84
ID:9, y:73, x:101
ID:11, y:80, x:90
ID:14, y:114, x:44
ID:10, y:119, x:116
ID:15, y:122, x:19
ID:12, y:129, x:89
ID:13, y:142, x:132
ID:16, y:145, x:68

ID:1, y:8, x:93
ID:4, y:26, x:89
ID:5, y:30, x:82
ID:0, y:34, x:56
ID:3, y:41, x:28
ID:8, y:44, x:119
ID:2, y:47, x:63
ID:7, y:52, x:41
ID:6, y:55, x:83
ID:9, y:73, x:100
ID:11, y:79, x:90
ID:14, y:114, x:43
ID:10, y:120, x:116
ID:15, y:121, x:19
ID:12, y:129, x:88
ID:13, y:142, x:131
ID:16, y:145, x:69

ID:1, y:8, x:94
ID:4, y:26, x:88
ID:5, y:31, x:82
ID:0, y:35, x:56
ID:3, y:41, x:29
ID:8, y:44, x:118
ID:2, y:47, x:64
ID:7, y:53, x:41
ID:6, y:55, x:82
ID:9, y:73, x:99
ID:11, y:79, x:89
ID:14, y:114, x:42
ID:15, y:120, x:19
ID:10, y:121, x:116
ID:12, y:128, x:88
ID:13, y:142, x:130
ID:16, y:145, x:70

ID:1, y:8, x:95
ID:4, y:26, x:87
ID:5, y:32, x:82
ID:0, y:36, x:56
ID:3, y:41, x:30
ID:8, y:44, x:117
ID:2, y:47, x:65
ID:7, y:53, x:42
ID:6, y:54, x:82
ID:9, y:74, x:99
ID:11, y:79, x:88
ID:14, y:114, x:41
ID:15, y:119, x:19
ID:10, y:121, x:115
ID:12, y:128, x:87
ID:13, y:142, x:129
ID:16, y:145, x:71

ID:1, y:8, x:96
ID:4, y:26, x:86
ID:5, y:33, x:82
ID:0, y:36, x:55
ID:3, y:41, x:31
ID:8, y:43, x:117
ID:2, y:47, x:66
ID:7, y:53, x:43
ID:6, y:54, x:81
ID:9, y:75, x:99
ID:11, y:79, x:87
ID:14, y:114, x:40
ID:15, y:118, x:19
ID:10, y:121, x:114
ID:12, y:128, x:86
ID:13, y:143, x:129
ID:16, y:145, x:72

ID:1, y:8, x:97
ID:4, y:25, x:86
ID:5, y:34, x:82
ID:0, y:36, x:54
ID:3, y:42, x:31
ID:8, y:42, x:117
ID:2, y:47, x:67
ID:7, y:54, x:43
ID:6, y:54, x:80
ID:9, y:76, x:99
ID:11, y:79, x:86
ID:14, y:114, x:39
ID:15, y:118, x:20
ID:10, y:122, x:114
ID:12, y:128, x:85
ID:13, y:144, x:129
ID:16, y:145, x:73

ID:1, y:8, x:98
ID:4, y:25, x:85
ID:5, y:34, x:81
ID:0, y:37, x:54
ID:8, y:42, x:116
ID:3, y:43, x:31
ID:2, y:47, x:68
ID:7, y:54, x:44
ID:6, y:54, x:79
ID:9, y:77, x:99
ID:11, y:78, x:86
ID:14, y:113, x:39
ID:15, y:118, x:21
ID:10, y:123, x:114
ID:12, y:128, x:84
ID:16, y:145, x:74
ID:13, y:145, x:129

ID:1, y:8, x:99
ID:4, y:25, x:84
ID:5, y:34, x:80
ID:0, y:37, x:53
ID:8, y:42, x:115
ID:3, y:43, x:32
ID:2, y:47, x:69
ID:7, y:54, x:45
ID:6, y:54, x:78
ID:9, y:77, x:98
ID:11, y:78, x:85
ID:14, y:113, x:38
ID:15, y:118, x:22
ID:10, y:124, x:114
ID:12, y:128, x:83
ID:16, y:145, x:75
ID:13, y:145, x:128

ID:1, y:8, x:100
ID:4, y:25, x:83
ID:5, y:35, x:80
ID:0, y:37, x:52
ID:8, y:41, x:115
ID:3, y:43, x:33
ID:2, y:48, x:69
ID:6, y:53, x:78
ID:7, y:54, x:46
ID:11, y:78, x:84
ID:9, y:78, x:98
ID:14, y:113, x:37
ID:15, y:117, x:22
ID:10, y:125, x:114
ID:12, y:128, x:82
ID:16, y:145, x:76
ID:13, y:145, x:127

ID:1, y:8, x:101
ID:4, y:25, x:82
ID:0, y:36, x:52
ID:5, y:36, x:80
ID:8, y:41, x:114
ID:3, y:43, x:34
ID:2, y:48, x:70
ID:6, y:53, x:77
ID:7, y:55, x:46
ID:11, y:78, x:83
ID:9, y:79, x:98
ID:14, y:113, x:36
ID:15, y:116, x:22
ID:10, y:126, x:114
ID:12, y:128, x:81
ID:16, y:145, x:77
ID:13, y:145, x:126

ID:1, y:8, x:102
ID:4, y:25, x:81
ID:0, y:36, x:51
ID:5, y:37, x:80
ID:8, y:41, x:113
ID:3, y:43, x:35
ID:2, y:48, x:71
ID:6, y:53, x:76
ID:7, y:56, x:46
ID:11, y:77, x:83
ID:9, y:80, x:98
ID:14, y:113, x:35
ID:15, y:115, x:22
ID:10, y:126, x:113
ID:12, y:128, x:80
ID:16, y:145, x:78
ID:13, y:145, x:125

ID:1, y:8, x:103
ID:4, y:25, x:80
ID:0, y:36, x:50
ID:5, y:37, x:79
ID:8, y:41, x:112
ID:3, y:43, x:36
ID:2, y:48, x:72
ID:6, y:53, x:75
ID:7, y:56, x:47
ID:11, y:77, x:82
ID:9, y:81, x:98
ID:14, y:113, x:34
ID:15, y:114, x:22
ID:10, y:127, x:113
ID:12, y:128, x:79
ID:16, y:145, x:79
ID:13, y:145, x:124

ID:1, y:8, x:104
ID:4, y:25, x:79
ID:0, y:36, x:49
ID:5, y:37, x:78
ID:8, y:41, x:111
ID:3, y:44, x:36
ID:2, y:48, x:73
ID:6, y:53, x:74
ID:7, y:56, x:48
ID:11, y:77, x:81
ID:9, y:81, x:97
ID:14, y:112, x:34
ID:15, y:114, x:23
ID:12, y:128, x:78
ID:10, y:128, x:113
ID:16, y:145, x:80
ID:13, y:145, x:123

ID:1, y:8, x:105
ID:4, y:25, x:78
ID:0, y:35, x:49
ID:5, y:38, x:78
ID:8, y:41, x:110
ID:3, y:45, x:36
ID:2, y:49, x:73
ID:6, y:52, x:74
ID:7, y:57, x:48
ID:11, y:77, x:80
ID:9, y:82, x:97
ID:14, y:111, x:34
ID:15, y:113, x:23
ID:12, y:128, x:77
ID:10, y:128, x:112
ID:16, y:145, x:81
ID:13, y:145, x:122

ID:1, y:8, x:106
ID:4, y:24, x:78
ID:0, y:34, x:49
ID:5, y:39, x:78
ID:8, y:41, x:109
ID:3, y:45, x:37
ID:2, y:49, x:74
ID:6, y:52, x:73
ID:7, y:58, x:48
ID:11, y:77, x:79
ID:9, y:83, x:97
ID:14, y:111, x:33
ID:15, y:112, x:23
ID:12, y:128, x:76
ID:10, y:128, x:111
ID:16, y:145, x:82
ID:13, y:145, x:121

ID:1, y:8, x:107
ID:4, y:24, x:77
ID:0, y:34, x:48
ID:5, y:40, x:78
ID:8, y:41, x:108
ID:3, y:45, x:38
ID:2, y:49, x:75
ID:6, y:52, x:72
ID:7, y:58, x:49
ID:11, y:76, x:79
ID:9, y:83, x:96
ID:15, y:111, x:23
ID:14, y:111, x:32
ID:12, y:127, x:76
ID:10, y:129, x:111
ID:16, y:145, x:83
ID:13, y:145, x:120

ID:1, y:8, x:108
ID:4, y:24, x:76
ID:0, y:34, x:47
ID:5, y:40, x:77
ID:8, y:41, x:107
ID:3, y:45, x:39
ID:2, y:49, x:76
ID:6, y:52, x:71
ID:7, y:58, x:50
ID:11, y:75, x:79
ID:9, y:84, x:96
ID:15, y:110, x:23
ID:14, y:111, x:31
ID:12, y:126, x:76
ID:10, y:130, x:111
ID:16, y:145, x:84
ID:13, y:145, x:119

ID:1, y:8, x:109
ID:4, y:23, x:76
ID:0, y:34, x:46
ID:8, y:40, x:107
ID:5, y:41, x:77
ID:3, y:45, x:40
ID:2, y:49, x:77
ID:6, y:51, x:71
ID:7, y:59, x:50
ID:11, y:75, x:78
ID:9, y:85, x:96
ID:15, y:109, x:23
ID:14, y:110, x:31
ID:12, y:126, x:75
ID:10, y:131, x:111
ID:16, y:145, x:85
ID:13, y:145, x:118

ID:1, y:8, x:110
ID:4, y:23, x:75
ID:0, y:33, x:46
ID:8, y:40, x:106
ID:5, y:42, x:77
ID:3, y:45, x:41
ID:6, y:50, x:71
ID:2, y:50, x:77
ID:7, y:59, x:51
ID:11, y:75, x:77
ID:9, y:86, x:96
ID:15, y:108, x:23
ID:14, y:109, x:31
ID:12, y:126, x:74
ID:10, y:131, x:110
ID:16, y:145, x:86
ID:13, y:145, x:117

